Algorithm,time,n,m,scenario
binary_search,1.21593475342e-05,2221,740,random
binary_search,1.4066696167e-05,4442,1480,aaa
binary_search,1.09672546387e-05,2231,743,random
binary_search,1.19209289551e-05,4462,1486,aaa
binary_search,1.19209289551e-05,2241,746,random
binary_search,1.31130218506e-05,4482,1492,aaa
binary_search,1.19209289551e-05,2251,750,random
binary_search,1.28746032715e-05,4502,1500,aaa
binary_search,1.00135803223e-05,2261,753,random
binary_search,1.00135803223e-05,4522,1506,aaa
binary_search,1.09672546387e-05,2271,756,random
binary_search,1.09672546387e-05,4542,1512,aaa
binary_search,1.19209289551e-05,2281,760,random
binary_search,1.09672546387e-05,4562,1520,aaa
binary_search,1.09672546387e-05,2291,763,random
binary_search,1.21593475342e-05,4582,1526,aaa
binary_search,1.19209289551e-05,2301,766,random
binary_search,1.09672546387e-05,4602,1532,aaa
binary_search,1.09672546387e-05,2311,770,random
binary_search,1.21593475342e-05,4622,1540,aaa
binary_search,1.09672546387e-05,2321,773,random
binary_search,1.09672546387e-05,4642,1546,aaa
binary_search,1.19209289551e-05,2331,776,random
binary_search,1.19209289551e-05,4662,1552,aaa
binary_search,1.09672546387e-05,2341,780,random
binary_search,1.09672546387e-05,4682,1560,aaa
binary_search,1.00135803223e-05,2351,783,random
binary_search,1.09672546387e-05,4702,1566,aaa
binary_search,1.09672546387e-05,2361,786,random
binary_search,1.09672546387e-05,4722,1572,aaa
binary_search,1.09672546387e-05,2371,790,random
binary_search,1.19209289551e-05,4742,1580,aaa
binary_search,1.00135803223e-05,2381,793,random
binary_search,1.09672546387e-05,4762,1586,aaa
binary_search,1.09672546387e-05,2391,796,random
binary_search,1.21593475342e-05,4782,1592,aaa
binary_search,1.09672546387e-05,2401,800,random
binary_search,1.09672546387e-05,4802,1600,aaa
binary_search,1.21593475342e-05,2411,803,random
binary_search,1.12056732178e-05,4822,1606,aaa
binary_search,1.19209289551e-05,2421,806,random
binary_search,1.19209289551e-05,4842,1612,aaa
binary_search,1.09672546387e-05,2431,810,random
binary_search,1.00135803223e-05,4862,1620,aaa
binary_search,9.05990600586e-06,2441,813,random
binary_search,9.05990600586e-06,4882,1626,aaa
binary_search,1.19209289551e-05,2451,816,random
binary_search,1.19209289551e-05,4902,1632,aaa
binary_search,1.19209289551e-05,2461,820,random
binary_search,1.19209289551e-05,4922,1640,aaa
binary_search,1.00135803223e-05,2471,823,random
binary_search,1.09672546387e-05,4942,1646,aaa
binary_search,1.09672546387e-05,2481,826,random
binary_search,1.09672546387e-05,4962,1652,aaa
binary_search,1.19209289551e-05,2491,830,random
binary_search,1.09672546387e-05,4982,1660,aaa
binary_search,1.09672546387e-05,2501,833,random
binary_search,1.12056732178e-05,5002,1666,aaa
binary_search,1.19209289551e-05,2511,836,random
binary_search,1.19209289551e-05,5022,1672,aaa
binary_search,1.21593475342e-05,2521,840,random
binary_search,1.09672546387e-05,5042,1680,aaa
binary_search,1.97887420654e-05,2531,843,random
binary_search,1.50203704834e-05,5062,1686,aaa
binary_search,1.31130218506e-05,2541,846,random
binary_search,2.38418579102e-05,5082,1692,aaa
binary_search,1.59740447998e-05,2551,850,random
binary_search,1.28746032715e-05,5102,1700,aaa
binary_search,1.28746032715e-05,2561,853,random
binary_search,3.09944152832e-05,5122,1706,aaa
binary_search,1.71661376953e-05,2571,856,random
binary_search,2.09808349609e-05,5142,1712,aaa
binary_search,1.59740447998e-05,2581,860,random
binary_search,2.19345092773e-05,5162,1720,aaa
binary_search,1.19209289551e-05,2591,863,random
binary_search,1.12056732178e-05,5182,1726,aaa
binary_search,1.00135803223e-05,2601,866,random
binary_search,1.09672546387e-05,5202,1732,aaa
binary_search,1.19209289551e-05,2611,870,random
binary_search,1.19209289551e-05,5222,1740,aaa
binary_search,1.19209289551e-05,2621,873,random
binary_search,1.4066696167e-05,5242,1746,aaa
binary_search,1.09672546387e-05,2631,876,random
binary_search,1.09672546387e-05,5262,1752,aaa
binary_search,1.21593475342e-05,2641,880,random
binary_search,1.19209289551e-05,5282,1760,aaa
binary_search,1.19209289551e-05,2651,883,random
binary_search,1.28746032715e-05,5302,1766,aaa
binary_search,1.09672546387e-05,2661,886,random
binary_search,1.19209289551e-05,5322,1772,aaa
binary_search,1.09672546387e-05,2671,890,random
binary_search,1.19209289551e-05,5342,1780,aaa
binary_search,1.09672546387e-05,2681,893,random
binary_search,1.09672546387e-05,5362,1786,aaa
binary_search,1.21593475342e-05,2691,896,random
binary_search,1.31130218506e-05,5382,1792,aaa
binary_search,1.21593475342e-05,2701,900,random
binary_search,1.09672546387e-05,5402,1800,aaa
binary_search,1.09672546387e-05,2711,903,random
binary_search,1.19209289551e-05,5422,1806,aaa
binary_search,1.21593475342e-05,2721,906,random
binary_search,2.19345092773e-05,5442,1812,aaa
binary_search,1.59740447998e-05,2731,910,random
binary_search,1.28746032715e-05,5462,1820,aaa
binary_search,2.40802764893e-05,2741,913,random
binary_search,2.40802764893e-05,5482,1826,aaa
binary_search,2.38418579102e-05,2751,916,random
binary_search,2.8133392334e-05,5502,1832,aaa
binary_search,2.28881835938e-05,2761,920,random
binary_search,1.38282775879e-05,5522,1840,aaa
binary_search,2.28881835938e-05,2771,923,random
binary_search,1.38282775879e-05,5542,1846,aaa
binary_search,1.50203704834e-05,2781,926,random
binary_search,2.19345092773e-05,5562,1852,aaa
binary_search,3.00407409668e-05,2791,930,random
binary_search,1.59740447998e-05,5582,1860,aaa
binary_search,1.31130218506e-05,2801,933,random
binary_search,1.71661376953e-05,5602,1866,aaa
binary_search,1.19209289551e-05,2811,936,random
binary_search,1.78813934326e-05,5622,1872,aaa
binary_search,1.31130218506e-05,2821,940,random
binary_search,2.19345092773e-05,5642,1880,aaa
binary_search,3.00407409668e-05,2831,943,random
binary_search,1.31130218506e-05,5662,1886,aaa
binary_search,2.47955322266e-05,2841,946,random
binary_search,1.50203704834e-05,5682,1892,aaa
binary_search,2.40802764893e-05,2851,950,random
binary_search,1.59740447998e-05,5702,1900,aaa
binary_search,4.19616699219e-05,2861,953,random
binary_search,1.50203704834e-05,5722,1906,aaa
binary_search,4.38690185547e-05,2871,956,random
binary_search,1.31130218506e-05,5742,1912,aaa
binary_search,1.28746032715e-05,2881,960,random
binary_search,1.50203704834e-05,5762,1920,aaa
binary_search,1.12056732178e-05,2891,963,random
binary_search,2.00271606445e-05,5782,1926,aaa
binary_search,1.38282775879e-05,2901,966,random
binary_search,1.8835067749e-05,5802,1932,aaa
binary_search,1.4066696167e-05,2911,970,random
binary_search,3.19480895996e-05,5822,1940,aaa
binary_search,1.31130218506e-05,2921,973,random
binary_search,2.19345092773e-05,5842,1946,aaa
binary_search,1.59740447998e-05,2931,976,random
binary_search,1.59740447998e-05,5862,1952,aaa
binary_search,1.50203704834e-05,2941,980,random
binary_search,1.28746032715e-05,5882,1960,aaa
binary_search,1.28746032715e-05,2951,983,random
binary_search,1.69277191162e-05,5902,1966,aaa
binary_search,1.19209289551e-05,2961,986,random
binary_search,1.28746032715e-05,5922,1972,aaa
binary_search,1.19209289551e-05,2971,990,random
binary_search,1.21593475342e-05,5942,1980,aaa
binary_search,1.09672546387e-05,2981,993,random
binary_search,1.21593475342e-05,5962,1986,aaa
binary_search,9.05990600586e-06,2991,996,random
binary_search,1.09672546387e-05,5982,1992,aaa
binary_search,2.28881835938e-05,3001,1000,random
binary_search,1.19209289551e-05,6002,2000,aaa
binary_search,1.19209289551e-05,3011,1003,random
binary_search,1.4066696167e-05,6022,2006,aaa
binary_search,1.12056732178e-05,3021,1006,random
binary_search,1.31130218506e-05,6042,2012,aaa
binary_search,1.28746032715e-05,3031,1010,random
