Algorithm,time,n
radix_sort,0.003853083,60201
radix_sort,0.002959967,60301
radix_sort,0.002476692,60401
radix_sort,0.002289057,60501
radix_sort,0.002253056,60601
radix_sort,0.002228022,60701
radix_sort,0.002359152,60801
radix_sort,0.002460241,60901
radix_sort,0.002325058,61001
radix_sort,0.002239943,61101
radix_sort,0.002309084,61201
radix_sort,0.002813101,61301
radix_sort,0.003430128,61401
radix_sort,0.002476931,61501
radix_sort,0.002334118,61601
radix_sort,0.002331734,61701
radix_sort,0.002364874,61801
radix_sort,0.002341747,61901
radix_sort,0.003090858,62001
radix_sort,0.002331972,62101
radix_sort,0.003929138,62201
radix_sort,0.00238204,62301
radix_sort,0.002325058,62401
radix_sort,0.002284765,62501
radix_sort,0.002364874,62601
radix_sort,0.002355099,62701
radix_sort,0.002394915,62801
radix_sort,0.002650261,62901
radix_sort,0.002933979,63001
radix_sort,0.002488136,63101
radix_sort,0.002408981,63201
radix_sort,0.002319098,63301
radix_sort,0.002388954,63401
radix_sort,0.002691031,63501
radix_sort,0.002925158,63601
radix_sort,0.003087997,63701
radix_sort,0.002357006,63801
radix_sort,0.003035307,63901
radix_sort,0.002563,64001
radix_sort,0.002381086,64101
radix_sort,0.002442122,64201
radix_sort,0.004256964,64301
radix_sort,0.003036976,64401
radix_sort,0.003365993,64501
radix_sort,0.00245595,64601
radix_sort,0.002638102,64701
radix_sort,0.002650976,64801
radix_sort,0.00303793,64901
radix_sort,0.00385499,65001
radix_sort,0.002480745,65101
radix_sort,0.002473116,65201
radix_sort,0.002436876,65301
radix_sort,0.003082991,65401
radix_sort,0.00270009,65501
radix_sort,0.003018856,65601
radix_sort,0.002466679,65701
radix_sort,0.002437115,65801
radix_sort,0.002943993,65901
radix_sort,0.003358126,66001
radix_sort,0.00248003,66101
radix_sort,0.002462864,66201
radix_sort,0.002593756,66301
radix_sort,0.002870083,66401
radix_sort,0.003226995,66501
radix_sort,0.002712965,66601
radix_sort,0.002521038,66701
radix_sort,0.003196001,66801
radix_sort,0.003205061,66901
radix_sort,0.002512217,67001
radix_sort,0.002616167,67101
radix_sort,0.002576113,67201
radix_sort,0.003290176,67301
radix_sort,0.002595663,67401
radix_sort,0.002604246,67501
radix_sort,0.002636194,67601
radix_sort,0.0026021,67701
radix_sort,0.002980709,67801
